Video ID,Title,Description,Published At
Bbkfj2LzKHk,The grep command,,2025-03-10T16:26:56Z
tgBU5LR9pag,🚨 Francesco is live 🚨,Francesco is live.,2025-03-07T06:12:37Z
BNEHeQtmPiM,🚨 Rust live - the RC Smart pointer,Rust live - the RC Smart pointer.,2025-01-05T02:54:31Z
K6TeVyGm8cs,🚨 Rust live - The Drop Trait,Rust live - The Drop Trait.,2024-12-08T03:07:43Z
9g-UG0BC9A4,The Deref Trait in Rust - Full Crash Rust Tutorial for Beginners,The Rust series is available here: ...,2024-12-03T13:57:38Z
esTddv6MOY4,Using The Box Smart pointer to Point to Data on the Heap - Full Crash Rust Tutorial for Beginners,The Box Smart pointer in Rust. The Rust series is available here: ...,2024-11-24T03:34:20Z
AuzoABH7fRA,Getting familiar with Rust&#39;s syntax,"In this video, I talk about the Rust Syntax at a high level. for dedicated lessons, check the link below The Rust series is available ...",2024-11-21T14:20:20Z
QmWQUkqkxDs,Smart Pointers - data structures that act like a pointer -  Full Crash Rust Tutorial for Beginners,Introduction to Smart Pointers in Rust. The Rust series is available here: ...,2024-11-16T14:47:33Z
PF5rozqH974,"Cargo Workspaces, Cargo Install, Cargo custom commands - Full Crash Rust Tutorial for Beginners",The Rust series is available here: ...,2024-11-10T03:17:42Z
o5IP71BqO58,Actix Web - The Rust Framework for Web Development - Hello World,"In this quick tutorial, we'll create a simple “Hello, World!” web server using Actix in Rust. Perfect for beginners looking to get started ...",2024-11-05T14:17:33Z
8HlMJUYTsTQ,How to publish a crate on Crates.io - Full Crash Rust Tutorial for Beginners,The Rust series is available here: ...,2024-11-03T03:34:19Z
AiIsdA2i_7o,All the Rust Programming Language features,"In this video, I compress in 4 minutes most of the powerful features in the Rust programming language. #programming #rust The ...",2024-10-31T13:20:31Z
_5-Jp5A-OzE,Release Profiles in Rust - Full Crash Rust Tutorial for Beginners,The Rust series is available here: ...,2024-10-29T14:00:06Z
QFIvv91_sXM,What is a Vector Database? - Building a RAG application with Datastax Astra DB and Langflow using AI,Try DataStax Astra DB: https://dtsx.io/francesco Try Langflow: https://dtsx.io/francesco-lf Langflow on GitHub (leave a star): ...,2024-10-24T14:32:07Z
KUFKMb6XtEc,Rust and Ownerhip What happens when we go out of scope? #rustdevelopment #programmingtutorial,ALL THE LINKS HERE: https://francescociulla.com.,2024-10-23T13:30:11Z
qI2JY52i6Ns,Build a CLI Project - Improved version with Iterators - Full Crash Rust Tutorial for Beginners,The Rust series is available here: ...,2024-10-22T13:00:06Z
9YGBXKSChY0,❌ Don&#39;t focus on a cloud provider @KunalKushwaha @CivoCloud #devops,,2024-10-16T12:47:54Z
fHeytP3Ifd4,Mern stack and web development - should you learn Docker and K8s? @KunalKushwaha  #webdevelopment,,2024-10-15T15:45:23Z
iKn9Y35L4fU,Cloud deployment models - @KunalKushwaha @CivoCloud #devops,,2024-10-14T14:15:27Z
9LqOcZk349s,What is Cloud Computing? @KunalKushwaha #cloudcomputing #docker,,2024-10-13T15:33:39Z
Dtkv5i2nelk,"Iterators in Rust Explained - Map, filter, fold (reduce) - Full Crash Rust Tutorial for Beginners",Full Rust course: https://www.youtube.com/watch?v=R33h77nrMqc&list=PLPoSdR46FgI412aItyJhj2bF66cudB6Qs&index=1&t=4s ...,2024-10-13T04:20:03Z
5T8DTitNR0o,@WesBos about @dailydotdev - @syntaxfm #rustprogramming,,2024-10-08T11:33:43Z
Lz1V45A5YDg,The Stack - Rust programming language  #rustprogramming #rustdevelopment #programmingtutorial,ALL THE LINKS HERE: https://francescociulla.com.,2024-10-06T13:49:15Z
